,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
427,427,16891,3.622412,15.095407000000002,14.67,-20.8,-61.89,8.24,0.534,0,0,0.1411430529152752
428,428,19217,4.119092,10.799686,14.57,28.56,-81.94,7.97,0.48,0,0,0.3665514872880149
430,430,16181,3.474046,22.804006,14.44,0.02,-111.4,6.03,0.951,0,0,0.29709750072577235
431,431,16136,3.4653620000000003,18.882333,14.32,13.54,-61.28,8.46,0.568,0,0,0.341903084599341
434,434,26027,5.552543,15.943719,14.25,31.64,-140.83,8.19,0.5489999999999999,0,0,0.27774633355020234
436,436,18761,4.018552,4.5411410000000005,14.24,45.55,-61.93,8.77,0.53,0,0,0.33734510133942475
438,438,19120,4.098709,15.498995,13.98,36.52,-37.98,8.15,0.564,0,0,0.25338469068738123
439,439,14048,3.014851,15.03117,13.98,-74.85,-74.23,7.31,0.5529999999999999,0,0,0.023274801786447134
440,440,15661,3.361629,10.829897,13.94,22.55,-19.64,9.67,0.7979999999999999,0,0,-0.19683534757694618
447,447,15368,3.302132,8.044260000000001,13.76,58.94,-3.7,11.47,0.9,0,0,-0.07567407102304143
448,448,28182,5.954535,12.179269,13.72,19.44,-137.09,9.81,0.779,0,0,0.28011629298789864
449,449,26729,5.679543,9.265445,13.68,-53.23,-70.03,7.96,0.652,0,0,0.051147907268352256
451,451,24663,5.2919870000000016,20.131842,13.66,-14.34,-94.09,6.69,0.523,0,0,0.2714349261508659
452,452,16479,3.536678,3.876859,13.59,46.33,-79.44,8.3,0.418,0,0,0.34443087493394986
453,453,17589,3.767997,21.998472,13.58,-125.75,-139.38,9.46,0.6759999999999999,0,0,0.07135260975068097
454,454,13855,2.97327,19.229284,13.57,48.54,-60.45,8.78,0.652,0,0,0.34238022521663486
455,455,23896,5.134718,7.898403,13.57,-30.88,-147.74,6.66,0.98,0,0,0.21094255484053928
459,459,24142,5.1849620000000005,17.399233,13.53,30.74,-70.29,9.15,0.8490000000000001,0,0,0.3768059935092818
460,460,16924,3.629953,15.430552,13.52,22.43,-29.51,6.4,0.16699999999999998,0,0,0.050379366738945254
461,461,21395,4.592756,12.100483,13.51,40.14,-16.95,8.91,0.59,0,0,-0.042804006438395686
463,463,28312,5.982526,18.979864000000006,13.5,47.82,-49.08,8.47,0.606,0,0,0.3115690304481544
464,464,16158,3.4702870000000003,7.302219999999998,13.46,-16.44,-83.87,8.0,0.611,0,0,0.24892302782369946
465,465,17832,3.815817,23.857135,13.44,46.92,-56.45,6.47,0.377,0,0,0.33355198074025455
467,467,17453,3.741168,20.928737,13.39,26.61,-13.8,6.09,0.028,0,0,-0.23322741895064453
469,469,26231,5.589014,13.284401999999998,13.34,48.14,-60.88,8.0,0.496,0,0,0.3436218120607946
472,472,19961,4.280235,5.618486,13.31,66.16,-75.73,12.19,1.391,0,0,0.2586958644374627
473,473,22446,4.830008,23.395758,13.26,44.84,-48.52,8.5,0.623,0,0,0.3119494332657384
474,474,18481,3.950477,6.039967,13.26,37.24,-67.99,6.09,0.058,0,0,0.35977870129942074
478,478,23710,5.097051,13.286057,13.18,55.6,-103.29,7.86,0.8440000000000001,0,0,0.3179829668636308
479,479,14228,3.057824,6.2266910000000015,13.18,-11.76,-54.7,6.72,0.342,0,0,0.12539365007689904
484,484,16991,3.64221,13.605963,13.11,-80.83,-84.18,8.93,0.575,0,0,0.04610941995965547
491,491,27933,5.910181,11.485473,12.76,36.97,-34.79,7.31,0.278,0,0,0.21361316153456872
492,492,21882,4.70417,9.63382,12.76,36.17,-65.16,6.76,0.354,0,0,0.36622886296722873
493,493,18174,3.886999,7.770497,12.75,59.26,-98.2,7.47,0.515,0,0,0.3073139718317669
497,497,23854,5.127365,23.278609,12.65,36.62,-11.76,9.09,0.512,0,0,-0.14407551806293742
510,510,23810,5.117311,16.820465,12.34,55.12,-55.52,10.3,0.821,0,0,0.31419983950775565
513,513,24298,5.214285,18.154921,12.29,-11.51,-46.91,8.51,0.88,0,0,0.03795850537582468
516,516,20171,4.3239160000000005,21.142307,12.2,29.49,-42.73,5.5,-0.069,0,0,0.29195398387122007
523,523,22828,4.9124370000000015,4.77352,12.01,6.9,-38.31,7.9,0.541,0,0,0.03601534202160977
525,525,24730,5.303103,9.216458,11.97,6.33,-32.24,7.41,0.204,0,0,-0.11299056419981617
529,529,15279,3.2858339999999995,6.799888,11.88,48.41,-31.95,6.96,0.263,0,0,0.1817084919151565
532,532,24031,5.166176,8.173150999999999,11.86,-47.6,-107.4,7.02,0.546,0,0,0.17441354952351762
533,533,18806,4.029517,13.837334,11.74,-3.34,-88.8,8.28,0.5429999999999999,0,0,0.3064921489875132
535,535,22712,4.883624,11.267253,11.72,-14.32,-107.08,9.83,0.625,0,0,0.2692050252802258
