,Unnamed: 0,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep
793,793,5436,79,9,1,4.146422,6.78154,-0.3,6.8,9.374,9.054,9.025,0.272,26173,19355.0,,0,1
794,794,5437,79,10,1,4.080939,7.172353,-6.0,-5.7,11.78,11.098,11.037,0.58,      ,,,0,1
795,795,5438,79,58,1,4.018606,6.75202,-2.6,-0.9,10.72,9.486,9.375,1.0490000000000002,      ,,,0,1
796,796,5439,79,75,1,4.051008,6.717809,-6.6,-6.6,11.287,10.865,10.827,0.359,      ,,,0,1
797,797,5440,79,96,1,4.103271,6.4638870000000015,-2.8,-12.5,10.93,9.628,9.511,1.107,      ,,,0,1
798,798,5441,79,105,1,4.113085,6.755446000000001,6.5,9.2,11.837,10.168,10.018,1.419,      ,,,0,1
799,799,5442,79,153,1,4.022512,6.417413,22.1,-22.5,12.123,11.087,10.994000000000002,0.8809999999999999,      ,,,0,1
800,800,5443,79,162,1,4.157562,6.725058,26.0,-55.3,6.849,6.747999999999998,6.739,0.086,26256,19411.0,9.88,0,1
801,801,5444,79,179,1,4.0344419999999985,6.523853,11.5,-8.4,9.723,8.568999999999999,8.465,0.981,25368,18826.0,2.88,0,1
802,802,5445,79,209,1,4.161246,5.883033,-5.8,-31.9,11.231,9.628,9.484,1.3630000000000002,      ,,,0,1
803,803,5446,79,217,1,4.060816,6.792910000000001,22.6,-12.2,10.378,9.809,9.758,0.484,      ,18947.0,5.31,0,1
804,804,5447,79,226,1,4.057893,6.280401,7.6,-6.1,11.561,11.111,11.071,0.383,      ,,,0,1
805,805,5448,79,228,1,4.112123,5.518947,6.8,2.3,11.367,10.938,10.899,0.365,      ,,,0,1
806,806,5449,79,230,1,4.070582,6.511467,2.0,-4.0,11.921,11.582,11.550999999999998,0.28800000000000003,      ,,,0,1
807,807,5450,79,234,1,4.116988,6.448372,-6.7,-3.8,11.268,9.567,9.414,1.446,      ,,,0,1
808,808,5451,79,240,1,4.141207,5.819302,0.7,-7.7,12.108,10.326,10.166,1.515,      ,,,0,1
809,809,5452,79,252,1,4.0712769999999985,7.123208999999999,3.8,-8.8,11.28,10.666,10.611,0.522,      ,,,0,1
810,810,5453,79,376,1,4.05547,7.1425800000000015,10.8,-3.7,12.146,10.492,10.343,1.406,      ,,,0,1
811,811,5454,79,382,1,4.042085,7.012252,0.8,-5.9,11.188,9.607,9.465,1.344,      ,,,0,1
812,812,5455,79,457,1,4.13086,5.69271,-5.2,-79.0,10.342,9.693,9.635,0.552,      ,19271.0,9.27,0,1
813,813,5456,79,462,1,4.034189,7.219600999999999,1.9,-11.8,11.998,10.182,10.019,1.544,      ,,,0,1
814,814,5457,79,486,1,4.1602510000000015,6.196263,-1.9,6.3,11.605,10.308,10.191,1.102,      ,,,0,1
815,815,5458,79,523,1,4.06745,7.2282259999999985,6.1,9.3,11.925999999999998,10.962,10.875,0.8190000000000001,      ,,,0,1
816,816,5459,79,539,1,4.130662,5.119578,1.2,-4.0,11.765,10.754,10.663,0.8590000000000001,      ,,,0,1
817,817,5460,79,608,1,4.112443,5.686844000000002,65.7,18.4,9.334,8.703,8.646,0.536,25942,19189.0,4.4,0,1
818,818,5461,79,656,1,4.0449160000000015,6.886029,-6.2,-1.1,10.82,10.521,10.494000000000002,0.254,      ,,,0,1
819,819,5462,79,670,1,4.0882830000000006,7.304902,-9.1,-7.3,11.539,9.89,9.742,1.402,      ,,,0,1
820,820,5463,79,673,1,4.01254,5.115327,-4.2,-25.3,10.833,10.041,9.97,0.6729999999999999,      ,18732.0,9.09,0,1
821,821,5464,79,705,1,4.1362830000000015,6.138477,0.3,-2.7,11.033,9.632,9.506,1.1909999999999998,      ,,,0,1
822,822,5465,79,780,1,4.065366,6.5618880000000015,26.6,-14.9,10.182,9.474,9.41,0.602,      ,,,0,1
