,Unnamed: 0,Unnamed: 0.1,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep,cluster,silhouette
272,274,274,4353,62,480,1,3.289562,5.7529879999999975,1.7,-30.1,10.681,10.146,10.097999999999999,0.455,      ,15299.0,2.66,0,1,0,0.18472861599632423
274,276,276,4355,62,551,1,3.186173,7.174017,25.3,-15.5,8.377,7.898,7.855,0.40700000000000003,19790,14804.0,6.06,0,1,0,0.30804674775673
281,283,283,4362,62,712,1,3.26879,7.081861,19.2,-3.6,9.916,9.435,9.392000000000001,0.409,      ,15214.0,8.31,0,1,0,-0.06825769116304724
284,286,286,4365,62,862,1,3.19156,5.588938,30.0,-12.6,10.068,9.605,9.562999999999999,0.39399999999999996,      ,14829.0,3.24,0,1,0,0.280079283670516
289,291,291,4370,62,1000,1,3.2808230000000003,7.414026,22.1,-1.1,10.71,10.017999999999999,9.956,0.588,      ,,,0,1,0,-0.04874573522257054
291,293,293,4372,62,1143,1,3.17197,5.232972,13.7,-12.3,11.374,10.505999999999998,10.427999999999999,0.738,      ,,,0,1,0,0.023512519791364803
293,295,295,4374,62,1155,1,3.22115,6.423982,12.0,-12.3,11.282,9.617,9.467,1.415,      ,14996.0,2.8,0,1,0,-0.03450891422928121
294,296,296,4375,62,1185,1,3.276146,6.2836690000000015,8.6,-33.9,11.603,10.144,10.013,1.24,      ,,,0,1,0,0.3323655010995787
302,304,304,4383,62,1336,1,3.3066940000000002,5.944249,17.7,-18.9,10.905,9.396,9.26,1.2830000000000001,      ,,,0,1,0,0.2944824429598267
303,305,305,4384,62,1359,1,3.211011,5.210936,25.5,-5.3,10.107999999999999,9.5,9.445,0.517,      ,,,0,1,0,0.10933740632863445
305,307,307,4386,62,1444,1,3.319043,5.7165589999999975,8.5,-23.5,10.854000000000001,10.217,10.16,0.541,      ,,,0,1,0,0.21480656982848784
307,309,309,4388,63,6,1,3.401563,7.490804,23.3,-29.8,12.523,10.748,10.588,1.5090000000000001,      ,,,0,1,0,0.4289655798577205
308,310,310,4389,63,19,1,3.458774,7.360562,29.7,-13.6,11.075,10.607000000000001,10.565,0.39799999999999996,      ,,,0,1,0,0.30228133379188155
309,311,311,4390,63,59,1,3.388838,7.1764550000000025,21.8,-12.3,12.404000000000002,10.8,10.655999999999999,1.3630000000000002,      ,,,0,1,0,0.21798717407075402
315,317,317,4396,63,136,1,3.3655779999999997,5.9187389999999995,14.6,-11.5,11.583,10.999,10.946,0.496,      ,,,0,1,0,0.025743795782453335
319,321,321,4400,63,332,1,3.418575,7.393449,38.3,-31.6,10.079,9.485,9.432,0.505,21159,15923.0,8.82,0,1,0,0.39564012589403086
322,324,324,4403,63,409,1,3.434325,6.16328,1.2,-30.3,11.565,10.929,10.872,0.541,      ,,,0,1,0,0.17832910775627941
