recno;TYCID1;TYCID2;TYCID3;RA_J2000_24;DE_J2000;pmRA;pmDE;BT;VT;V;B-V;HD;HIP;Plx;is_hyades;cluster;silhouette
53926;681;588;1;4.526176;14.604981;1;-43.2;11.733;10.932;10.86;0.681;285879;;;0;3;0.0318091279
53930;681;672;1;4.482989;14.589102;-92.7;-72.3;10.983;9.978;9.888;0.854;      ;;;0;3;0.1077826859
53931;681;741;1;4.512053;14.464268;6.2;-4.9;12.111;11.204;11.122;0.771;285884;;;0;3;0.0623023898
53937;681;941;1;4.505265;14.369671;-11.9;-8.3;11.154;10.47;10.408;0.581;      ;;;0;3;-0.0060476438
101597;1224;98;1;2.91246;16.46681;13.7;-8.7;11.326;10.774;10.724;0.469;      ;;;0;3;0.2239931422
101599;1224;147;1;2.924836;16.204627;3;-9.5;10.664;10.178;10.134;0.413;      ;;;0;3;0.198947605
101602;1224;282;1;2.984041;16.383974;0.6;-5.9;9.668;9.451;9.431;0.184;18521;;;0;3;0.1896550895
101604;1224;332;1;2.913421;16.687682;0.7;-9.6;12.03;11.005;10.913;0.871;      ;;;0;3;0.0716003128
101607;1224;426;1;2.921452;17.468568;-21.7;-9.5;11.415;10.713;10.65;0.597;      ;;;0;3;0.3066484288
101609;1224;502;1;3.008747;15.90921;97.9;-39.4;11.252;10.615;10.558;0.541;      ;;;0;3;0.1884160551
101610;1224;505;1;2.923469;16.288226;3.3;-45.8;11.041;10.307;10.241;0.624;      ;;;0;3;0.205101031
101611;1224;576;1;2.921139;16.018267;12.3;-11.8;11.333;11.133;11.115;0.17;      ;;;0;3;0.1500738268
101612;1224;583;1;2.941343;16.842352;13.3;-24.9;10.24;9.685;9.635;0.472;      ;;;0;3;0.2631810112
101614;1224;646;1;2.923643;16.281887;4.3;-42.8;10.84;10.335;10.29;0.429;      ;;;0;3;0.2071022085
101616;1224;706;1;2.957609;16.387569;19.7;-17;11.713;10.94;10.87;0.657;      ;;;0;3;0.2177909651
101617;1224;722;1;2.91439;16.295881;42.3;-10.2;11.627;10.695;10.611;0.792;      ;;;0;3;0.1627176814
101621;1224;926;1;2.919342;15.600777;-12.6;-18.6;10.457;9.904;9.854;0.47;      ;;;0;3;0.1398986487
101623;1224;945;1;2.969451;15.408624;1;-16.9;11.699;10.924;10.854;0.659;      ;;;0;3;0.1166309965
101624;1224;952;1;2.905437;17.130628;11.2;0.4;11.454;10.924;10.876;0.451;      ;;;0;3;0.2768480326
101627;1224;1044;1;2.937021;15.364964;15.5;-0.6;10.113;9.453;9.394;0.561;      ;;;0;3;0.1143634914
101629;1224;1056;1;2.921241;17.174973;-0.5;-5.3;11.674;11.587;11.579;0.074;      ;;;0;3;0.2098958691
101630;1224;1136;1;2.909988;16.009481;23.4;-3.1;11.574;10.765;10.692;0.688;      ;;;0;3;0.1680636809
101639;1224;1303;1;3.003007;15.789574;-9;8.6;11.002;10.379;10.323;0.53;18631;;;0;3;0.1745950912
101647;1224;1410;1;2.987776;15.1956;6.7;-11.4;9.88;9.581;9.554;0.254;18542;;;0;3;0.0947606467
101652;1225;22;1;3.126099;17.024153;3.1;-5;11.859;11.117;11.05;0.631;      ;;;0;3;0.3155925501
101653;1225;77;1;3.197487;17.413555;-5.5;2;11.635;11.052;11;0.496;      ;;;0;3;0.3699346729
101654;1225;80;1;3.184661;17.304117;33.8;18.5;9.086;8.485;8.431;0.511;19722;;;0;3;0.358951977
101655;1225;89;1;3.123558;17.073152;-3;-5.9;9.946;9.556;9.521;0.331;19375;;;0;3;0.3011010899
101659;1225;135;1;3.167041;16.814378;31.6;-9.7;12.322;11.286;11.193;0.881;      ;;;0;3;0.090283094
101661;1225;144;1;3.19602;16.091939;-4.3;-3;10.682;10.331;10.299;0.298;      ;;;0;3;0.2192707493
101662;1225;215;1;3.143816;16.834234;0.6;-43.2;11.62;10.695;10.612;0.786;      ;;;0;3;0.2298577803
101665;1225;302;1;3.186253;17.211986;-2.8;-7.8;11.681;10.772;10.69;0.773;      ;;;0;3;0.2686018672
101669;1225;375;1;3.198095;16.315795;32.5;-9.1;11.951;11.245;11.181;0.6;      ;;;0;3;0.2651449749
101673;1225;426;1;3.126688;15.609218;21.1;4;11.583;10.757;10.683;0.702;      ;;;0;3;0.1587216085
101677;1225;472;1;3.189964;16.214788;28.2;-5.9;11.557;10.562;10.472;0.846;      ;;;0;3;0.125986139
101679;1225;479;1;3.154947;16.041509;15.8;-13.3;11.867;11.292;11.24;0.489;      ;;;0;3;0.2306133207
101680;1225;509;1;3.122214;16.147255;-1.8;-3.9;11.347;10.632;10.568;0.608;      ;;;0;3;0.2316268569
101681;1225;542;1;3.174035;15.870719;8.6;-8.1;11.323;10.592;10.526;0.621;      ;;;0;3;0.2085781583
101684;1225;609;1;3.113142;17.287221;-7.1;3.2;11.731;11.145;11.092;0.498;      ;;;0;3;0.3409914311
101685;1225;641;1;3.053798;17.013509;25.3;-28.1;11.293;10.624;10.564;0.569;      ;;;0;3;0.3040195545
101687;1225;775;1;3.11101;17.385902;-13.6;-5.2;10.902;10.179;10.114;0.615;      ;;;0;3;0.3443822324
101690;1225;828;1;3.111835;17.477998;97.5;23.4;9.483;8.958;8.911;0.446;19290;;;0;3;0.3512460267
101691;1225;848;1;3.040287;15.99212;20.2;47.6;11.645;10.995;10.937;0.553;      ;;;0;3;0.2029047805
101692;1225;857;1;3.045218;17.446798;28;-35.8;11.539;10.699;10.623;0.714;      ;;;0;3;0.3133626002
101693;1225;1029;1;3.080368;17.260479;18.4;-14.3;10.622;10.056;10.005;0.481;      ;;;0;3;0.3303116142
101694;1225;1032;1;3.056647;16.002015;2.8;-10.9;11.44;11.007;10.968;0.368;      ;;;0;3;0.1987819499
101695;1225;1111;1;3.092293;17.119941;20.5;0.3;12.031;11.096;11.012;0.795;      ;;;0;3;0.219281764
101696;1225;1116;1;3.081484;15.699311;-10.5;-19.2;11.817;11.429;11.394;0.33;      ;;;0;3;0.1670026319
101698;1225;1299;1;3.104218;17.243867;13.4;3.9;12.045;11.126;11.043;0.781;      ;;;0;3;0.2439229791
101699;1225;1305;1;3.128054;15.324872;5.8;-45.1;10.864;10.373;10.329;0.417;19401;;;0;3;0.1390723124
101700;1225;1331;1;3.071586;15.455668;-2.5;-9.3;11.352;10.713;10.655;0.543;      ;;;0;3;0.1469903359
101701;1225;1335;1;3.029307;16.027204;-8.5;-16.3;11.314;10.353;10.267;0.817;      ;;;0;3;0.1386066485
101702;1225;1360;1;3.036917;15.771442;17.4;-14.1;10.876;10.121;10.053;0.642;18825;;;0;3;0.170768183
101704;1225;1472;1;3.057292;15.979622;-6.2;-16.7;11.545;10.912;10.855;0.538;      ;;;0;3;0.2053210685
101705;1225;1556;1;3.036036;15.99878;-13.6;-12;11.038;10.579;10.538;0.39;      ;;;0;3;0.1973133982
101706;1225;1561;1;3.076393;15.618137;-5.2;-28.3;11.443;10.831;10.776;0.52;      ;;;0;3;0.1680813971
101707;1225;1607;1;3.101415;16.567011;14.2;-12.1;10.825;10.22;10.166;0.514;      ;;;0;3;0.2749164687
101708;1225;1629;1;3.12266;15.221551;-9.4;-11.2;11.827;11.07;11.002;0.643;      ;;;0;3;0.1172758443
