,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades
55,3821,54,763,1,2.906085,6.521772,13.7,-5.7,12.06,10.571,10.437000000000001,1.266,      ,,,0
56,3822,54,804,1,2.933189,6.125244,4.7,-21.8,10.888,10.425999999999998,10.384,0.39299999999999996,      ,,,0
57,3823,54,805,1,2.9316020000000003,6.059492,14.9,-16.1,12.138,10.686,10.555,1.234,      ,,,0
58,3825,54,832,1,2.905009,6.776619,38.9,-34.4,11.064,10.552999999999999,10.507,0.434,      ,,,0
59,3826,54,833,1,2.9272869999999998,5.496163,-13.3,-2.7,10.133,9.704,9.665,0.365,18215,13641.0,5.55,0
60,3827,54,838,1,2.9452529999999997,6.703664999999999,29.6,-3.4,11.023,10.735,10.709000000000001,0.245,      ,,,0
61,3829,54,859,1,2.99186,6.339644,0.0,-32.6,9.892000000000001,9.39,9.345,0.42700000000000005,18581,13932.0,10.04,0
62,3830,54,883,1,2.9551380000000003,5.344579,28.7,30.4,12.065,10.993,10.897,0.9109999999999999,      ,,,0
63,3832,54,905,1,2.918923,5.508671,-38.2,-34.3,11.578,10.767000000000001,10.694,0.6890000000000001,      ,,,0
64,3833,54,917,1,2.938192,5.99868,9.0,-14.6,9.757,9.101,9.042,0.5579999999999999,18270,13687.0,9.48,0
65,3834,54,930,1,2.909438,5.128709,-2.6,2.2,11.998,10.773,10.663,1.041,      ,,,0
66,3835,54,934,1,2.909196,5.466581,72.6,-27.0,10.536,9.836,9.773,0.595,18094,,,0
67,3836,54,937,1,2.9399509999999998,5.614864,47.4,8.2,10.449000000000002,9.174,9.059,1.084,18297,,,0
68,3837,54,954,1,2.934491,6.174966,18.8,10.5,8.699,7.417000000000001,7.3020000000000005,1.09,18258,13671.0,4.63,0
69,3838,54,970,1,2.971575,5.355143,-1.1,-6.8,11.571,10.263,10.145,1.112,      ,,,0
70,3839,54,997,1,2.955839,5.477974,6.9,-6.3,9.107999999999999,8.908999999999999,8.891,0.16899999999999998,18383,,,0
71,3840,54,1009,1,2.9320459999999997,5.590132,14.6,-6.5,9.838,9.478,9.446,0.306,18249,,,0
72,3841,54,1016,1,2.911713,5.424469,4.5,-60.4,11.372,10.605,10.536,0.652,      ,,,0
73,3844,54,1039,1,2.960849,5.150106,14.4,-2.0,11.931,10.424000000000001,10.288,1.281,      ,,,0
74,3845,54,1061,1,2.956265,5.345516,12.7,-6.8,11.845999999999998,10.752,10.654000000000002,0.93,      ,,,0
