HIP;RA_J2000;DE_J2000;Plx;pmRA;pmDE;Vmag;B-V;is_hyades;cluster;silhouette
19376;4.150436;13.398281;7.32;14.76;-7.3;5.94;0.052;0;0;0.1806186092
18576;3.976448;15.086095;7.32;3.82;-44.38;8.41;0.727;0;0;0.1217980222
21676;4.653432;10.924297;7.29;-4.26;3.9;10.21;0.658;0;0;0.419044175
18549;3.968479;12.769416;7.28;43.31;-5.02;8.51;0.137;0;0;0.0671822134
19229;4.121879;13.53831;7.28;-25.06;-7.44;7.87;0.31;0;0;0.2799303342
18467;3.947211;13.36706;7.23;14.84;5.01;9.82;0.552;0;0;0.1850208854
19663;4.213023;11.171307;7.22;-2.88;-36.75;8.09;0.378;0;0;0.1718471222
22927;4.934166;11.242869;7.2;-11.89;-2.69;8.56;0.29;0;0;0.1845749825
20960;4.494639;12.175768;7.07;5.81;-36.56;8.33;0.576;0;0;0.4626793369
22264;4.793617;11.7867;6.95;-16.42;10.2;8.94;0.502;0;0;0.4773730723
19451;4.165641;15.868113;6.76;27.26;-11.92;9.9;0.587;0;0;0.1904353447
21687;4.656307;19.118538;6.74;19.41;-35.07;9.53;0.536;0;0;0.0799616077
25554;5.462538;10.778429;6.7;17.85;-6.02;10.36;0.579;0;0;0.0488559658
20804;4.457991;11.2123;6.7;-2.51;-13.2;5.87;0.049;0;0;0.1553228819
22426;4.825813;7.637339;6.64;-0.38;-41.19;10.01;0.59;0;0;0.1381467461
22462;4.834407;12.526236;6.59;-66.32;45.24;10.09;0.447;0;0;0.4761100521
20540;4.401255;12.972411;6.58;69.19;-36.4;7.7;1;0;0;0.0669355737
22740;4.892192;16.821968;6.49;6.8;-26.69;10.42;0.651;0;0;0.2554636276
21173;4.539325;18.216221;6.48;-19.44;8.03;10.58;0.521;0;0;0.1677916612
21266;4.562904;10.5177;6.39;1.79;-9.11;7.88;0.17;0;0;0.1830147127
21899;4.708551;17.877842;6.35;21.33;-55.5;10.54;0.577;0;0;0.2191185208
20941;4.489903;9.535876;6.32;7.73;-22.33;10.56;0.912;0;0;0.1136755924
21864;4.701297;14.326522;6.31;23.56;-10.65;8.77;0.42;0;0;0.5047365213
23651;5.08298;15.971177;6.29;-5.09;0.25;9.32;0.434;0;0;0.1699480315
22967;4.942102;15.813829;6.27;49.86;-44.2;9.26;0.584;0;0;0.3312528731
22676;4.876886;17.333476;6.27;16.66;-23.02;9.26;0.583;0;0;0.1939917789
21973;4.7227;12.445988;6.13;7.16;-16.53;9.64;0.714;0;0;0.4928560566
22682;4.878081;12.38471;6.09;-1.13;-8.68;7.26;0.146;0;0;0.1509336108
17480;3.745519;13.989451;6.03;21.84;-15.98;9.81;0.634;0;0;0.0480437471
20595;4.41123;12.904039;6;-8.64;1.06;7.87;0.411;0;0;0.4501439309
21761;4.673579;9.504038;5.98;8.3;0.54;10.11;0.56;0;0;0.3195431353
24548;5.266028;12.044869;5.95;10.49;-19.33;10.39;0.581;0;0;0.2865445665
24181;5.192446;12.669961;5.87;24.45;-8.7;10.45;0.45;0;0;0.2968096973
23049;4.960329;17.392173;5.85;69.62;-104.11;9.18;0.708;0;0;0.155101086
22753;4.894247;12.907831;5.82;3.32;-90.37;10.18;0.612;0;0;0.5200169472
21993;4.726841;7.466423;5.81;-10.47;-8.32;10.06;0.742;0;0;0.1310403026
20025;4.295285;13.836592;5.8;65.11;43.63;6.9;0.993;0;0;0.0473892223
18315;3.916028;12.906111;5.78;0.64;-6.32;9.45;0.27;0;0;0.0714191284
22267;4.794453;13.11466;5.77;26.25;-2.37;8.73;0.473;0;0;0.5268278623
21467;4.610461;18.754944;5.74;-26.31;-6.42;10.31;0.585;0;0;0.1522214232
18902;4.051826;14.483428;5.7;22.78;-14.6;8.48;0.669;0;0;0.2360926879
25678;5.484111;14.744021;5.67;21.08;-45.34;10.26;0.681;0;0;0.0983416143
21910;4.711302;8.643427;5.63;5.23;-12.59;9.53;0.488;0;0;0.2304556162
22846;4.915224;16.386499;5.62;0.13;-6.72;7.12;0.211;0;0;0.1086950957
19649;4.210434;12.456208;5.56;-5.84;-0.01;9.02;0.574;0;0;0.3198765596
22805;4.905732;17.609144;5.52;17.67;-23.12;9.59;0.515;0;0;0.1139697921
23674;5.088956;13.001023;5.52;-2.03;-5.02;8.7;0.258;0;0;0.1985539271
21506;4.618949;10.841841;5.5;-0.34;-11.41;7.53;0.208;0;0;0.2275867145
23339;5.020213;7.869258;5.5;-4.96;-16.99;8.69;0.581;0;0;0.04306113
19970;4.281875;11.483984;5.44;-9.92;-2.81;9.44;0.53;0;0;0.2884929621
19822;4.25029;15.737725;5.32;19.75;-15.91;10.02;0.604;0;0;0.2699298875
23159;4.982557;14.549575;5.32;4.92;-4.02;7.58;0.057;0;0;0.1467302783
21027;4.508688;8.321781;5.31;-12.94;-21.7;9.09;0.403;0;0;0.0689443818
23035;4.953645;10.809869;5.26;-11.96;-4.45;7.87;0.32;0;0;0.1610911254
24812;5.31879;14.492869;5.25;-1.62;-6.24;8.61;0.335;0;0;0.1148141748
21890;4.705642;10.451033;5.18;2.03;-2.07;9.88;0.529;0;0;0.4171276366
22327;4.809251;12.925419;5.18;-6.57;-12.59;7.69;0.94;0;0;0.1619495458
21650;4.648909;11.997309;5.16;-0.63;-6.15;9.05;-0.02;0;0;0.0671156607
23045;4.95655;11.509809;5.12;1.18;-43.65;10.01;0.614;0;0;0.4289697137
22183;4.772523;13.838804;5.12;-17.34;-27.58;10.15;0.909;0;0;0.2660656908
23462;5.043547;13.063925;5.05;3.45;-7.61;9.56;0.333;0;0;0.3128261782
19519;4.181991;15.946665;5.04;-10.12;-13.64;7.18;0.148;0;0;0.0805836852
21663;4.651106;10.398931;5.02;1.34;-5.71;9.44;0.5;0;0;0.3932725526
17557;3.76;13.247394;5.01;-7.59;-5.8;10.1;0.736;0;0;0.0335222319
19974;4.283446;11.189837;4.99;4.54;-9.01;10.85;0.437;0;0;0.2468134132
20511;4.395341;11.516928;4.91;-3.54;-8.64;8.67;0.375;0;0;0.3370031304
23161;4.98317;14.54324;4.86;6.17;-2.05;6.14;0.156;0;0;0.2157921967
23301;5.011603;12.603899;4.85;11.56;-19.37;8.26;0.13;0;0;0.0641676123
25013;5.356004;14.943373;4.84;17.48;-18.21;9.6;0.376;0;0;0.0555334563
19067;4.086436;13.296744;4.78;3.63;-6.2;8.15;0.477;0;0;0.2844344542
23388;5.027493;10.20979;4.77;11.41;-4.24;10.07;0.547;0;0;0.2637974617
20831;4.464315;10.014326;4.76;-32;-22.12;10.28;0.511;0;0;0.2602330705
20963;4.495238;10.52186;4.71;0.04;2.06;6.77;0.086;0;0;0.1260966111
19709;4.222932;13.578644;4.69;-10.3;-11.53;10.1;0.746;0;0;0.3547951748
19221;4.119623;13.812331;4.65;7.16;-19.16;8.84;0.662;0;0;0.3303548219
22583;4.860096;12.794097;4.64;19.2;-41.29;9.64;0.659;0;0;0.5197580889
22238;4.784627;9.060674;4.62;23.8;-1.57;8.61;0.514;0;0;0.2578292613
20458;4.383245;9.249024;4.62;19.22;-7.12;8.06;0.268;0;0;0.0577196436
20393;4.366605;11.573007;4.61;5.85;-7.17;9.72;0.561;0;0;0.354861891
19223;4.119773;12.268178;4.6;16.12;-23.35;7.7;0.092;0;0;0.1107242631
23702;5.094783;15.099806;4.58;-2.83;-21.5;10.78;0.601;0;0;0.3105474072
21987;4.72637;8.274407;4.5;9.1;-2.23;10.45;0.308;0;0;0.0044244579
24170;5.189769;14.698323;4.48;8.2;-8.22;10.67;0.605;0;0;0.2860146449
22258;4.791983;10.169381;4.41;-1.39;-6.82;8.24;0.34;0;0;0.220291108
22823;4.911447;12.025773;4.39;14.5;-19.03;7.44;0.139;0;0;0.0891620205
22853;4.916745;14.593773;4.38;16.02;-1.44;7.5;0.848;0;0;0.32027127
20841;4.466411;12.067762;4.35;-9.82;-16.17;9.61;0.677;0;0;0.4203686595
24870;5.331679;13.223273;4.3;12.23;-14.86;10.12;0.411;0;0;0.2063547115
19548;4.18625;15.626237;4.24;-0.99;-8.74;7.73;0.207;0;0;0.1356083763
19750;4.233608;11.027235;4.2;23.31;-2.08;7.46;0.382;0;0;0.1742451915
18752;4.016626;12.214356;4.15;1.67;-8.16;10.54;0.462;0;0;0.12738407
23496;5.050864;14.765698;4.15;-14.4;-5.88;9.14;0.634;0;0;0.3645951584
