,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
371,371,28188,5.957175,21.980851,16.57,15.49,-82.18,9.0,0.47,0,1,0.38132351671070813
374,374,27820,5.886833,11.814226,16.53,12.71,-108.44,7.19,0.506,0,1,0.38855777662297303
375,375,13801,2.961878,23.962381,16.51,-25.05,-92.03,9.87,0.774,0,1,0.3287735056713681
376,376,25589,5.469233999999998,16.439017,16.44,-36.18,-53.96,6.85,0.6659999999999999,0,1,0.056100325046737565
379,379,16739,3.5886690000000003,5.725289,16.1,8.07,-37.04,12.16,1.288,0,1,-0.22563100336630565
381,381,17722,3.795276,10.500686,16.06,39.93,-43.88,9.46,0.6809999999999999,0,1,0.0358082882295695
390,390,22792,4.903594,23.998804,15.87,-45.54,-41.25,7.53,0.417,0,1,-0.10081381132712657
391,391,24822,5.321278,22.096494,15.83,19.62,-81.08,4.96,0.937,0,1,0.37765490428551635
394,394,16824,3.608002,23.797292,15.66,53.0,-103.72,8.62,0.669,0,1,0.3332099517962651
395,395,15412,3.31146,18.472875,15.52,38.53,-35.35,8.7,0.71,0,1,-0.11388440043971525
398,398,15900,3.413554,9.02887,15.42,-74.25,-80.31,3.61,0.887,0,1,0.15841319545441812
399,399,21403,4.594446,19.968821,15.41,-9.3,-50.56,7.24,0.575,0,1,0.06112225283806814
401,401,26328,5.607329,21.993108,15.35,-44.21,-84.81,6.88,0.501,0,1,0.25416243764793794
405,405,17235,3.691188,12.607919,15.26,45.86,-79.67,8.1,0.526,0,1,0.32443933023015625
408,408,14075,3.022969,6.249124,15.17,36.3,-89.8,8.82,0.741,0,1,0.3599625709989788
409,409,24728,5.302943,5.994801,15.16,17.32,-84.03,11.64,1.146,0,1,0.3744595528226609
412,412,18625,3.985951,22.988234,15.01,-15.95,-79.55,8.7,0.556,0,1,0.3227875704128835
414,414,17830,3.815609,16.459486,14.94,-47.38,-103.84,7.22,0.4320000000000001,0,1,0.28605293009615024
419,419,14135,3.037992,4.089734,14.82,-11.81,-78.76,2.54,1.63,0,1,0.3170617265930896
420,420,24059,5.169558,13.548369,14.8,-64.01,-42.5,6.69,0.381,0,1,-0.06499022494421712
421,421,22972,4.943263,23.2957,14.72,75.58,-105.55,7.51,0.516,0,1,0.1141428702264592
422,422,15362,3.30126,6.484326,14.7,72.71,-111.0,8.8,0.7020000000000001,0,1,0.1512297620538349
424,424,16083,3.45282,9.73268,14.68,53.61,-38.12,3.73,-0.08199999999999999,0,1,-0.04285011659204615
425,425,17049,3.654737,13.891495,14.68,12.57,-99.41,6.67,0.92,0,1,0.39523321731725863
427,427,16891,3.622412,15.095407000000002,14.67,-20.8,-61.89,8.24,0.534,0,1,0.1880791185161979
428,428,19217,4.119092,10.799686,14.57,28.56,-81.94,7.97,0.48,0,1,0.3698412968838517
430,430,16181,3.474046,22.804006,14.44,0.02,-111.4,6.03,0.951,0,1,0.38121929902503215
431,431,16136,3.4653620000000003,18.882333,14.32,13.54,-61.28,8.46,0.568,0,1,0.2841113061875409
434,434,26027,5.552543,15.943719,14.25,31.64,-140.83,8.19,0.5489999999999999,0,1,0.3399976312201185
436,436,18761,4.018552,4.5411410000000005,14.24,45.55,-61.93,8.77,0.53,0,1,0.227464253897528
438,438,19120,4.098709,15.498995,13.98,36.52,-37.98,8.15,0.564,0,1,-0.07637193017765465
439,439,14048,3.014851,15.03117,13.98,-74.85,-74.23,7.31,0.5529999999999999,0,1,0.13535304786948796
448,448,28182,5.954535,12.179269,13.72,19.44,-137.09,9.81,0.779,0,1,0.3518280154240644
449,449,26729,5.679543,9.265445,13.68,-53.23,-70.03,7.96,0.652,0,1,0.15738121977518643
451,451,24663,5.2919870000000016,20.131842,13.66,-14.34,-94.09,6.69,0.523,0,1,0.36213676857833643
452,452,16479,3.536678,3.876859,13.59,46.33,-79.44,8.3,0.418,0,1,0.31090008471803765
453,453,17589,3.767997,21.998472,13.58,-125.75,-139.38,9.46,0.6759999999999999,0,1,0.1620446846604739
454,454,13855,2.97327,19.229284,13.57,48.54,-60.45,8.78,0.652,0,1,0.22414184332805395
455,455,23896,5.134718,7.898403,13.57,-30.88,-147.74,6.66,0.98,0,1,0.30756650661963386
459,459,24142,5.1849620000000005,17.399233,13.53,30.74,-70.29,9.15,0.8490000000000001,0,1,0.3332420932134044
463,463,28312,5.982526,18.979864000000006,13.5,47.82,-49.08,8.47,0.606,0,1,0.11427127268644051
464,464,16158,3.4702870000000003,7.302219999999998,13.46,-16.44,-83.87,8.0,0.611,0,1,0.33133413138844925
465,465,17832,3.815817,23.857135,13.44,46.92,-56.45,6.47,0.377,0,1,0.19271938869597457
469,469,26231,5.589014,13.284401999999998,13.34,48.14,-60.88,8.0,0.496,0,1,0.22675371390063648
472,472,19961,4.280235,5.618486,13.31,66.16,-75.73,12.19,1.391,0,1,0.18126416538615678
473,473,22446,4.830008,23.395758,13.26,44.84,-48.52,8.5,0.623,0,1,0.11100273654146645
474,474,18481,3.950477,6.039967,13.26,37.24,-67.99,6.09,0.058,0,1,0.2916607077339012
476,476,17174,3.678055,18.100595,13.23,-83.83,-64.7,9.19,0.737,0,1,0.07810499622908164
478,478,23710,5.097051,13.286057,13.18,55.6,-103.29,7.86,0.8440000000000001,0,1,0.32559391935018167
479,479,14228,3.057824,6.2266910000000015,13.18,-11.76,-54.7,6.72,0.342,0,1,0.10848795849907665
484,484,16991,3.64221,13.605963,13.11,-80.83,-84.18,8.93,0.575,0,1,0.1583021641807716
492,492,21882,4.70417,9.63382,12.76,36.17,-65.16,6.76,0.354,0,1,0.2850085312259696
493,493,18174,3.886999,7.770497,12.75,59.26,-98.2,7.47,0.515,0,1,0.29157151403648496
510,510,23810,5.117311,16.820465,12.34,55.12,-55.52,10.3,0.821,0,1,0.1641522729611564
513,513,24298,5.214285,18.154921,12.29,-11.51,-46.91,8.51,0.88,0,1,-0.02975753373505353
516,516,20171,4.3239160000000005,21.142307,12.2,29.49,-42.73,5.5,-0.069,0,1,0.01682691565420369
523,523,22828,4.9124370000000015,4.77352,12.01,6.9,-38.31,7.9,0.541,0,1,-0.21258907923123221
532,532,24031,5.166176,8.173150999999999,11.86,-47.6,-107.4,7.02,0.546,0,1,0.28563657084429095
533,533,18806,4.029517,13.837334,11.74,-3.34,-88.8,8.28,0.5429999999999999,0,1,0.3781603450068518
535,535,22712,4.883624,11.267253,11.72,-14.32,-107.08,9.83,0.625,0,1,0.36536281937015713
539,539,24665,5.29216,24.009677,11.64,-21.27,-76.28,6.85,1.061,0,1,0.2903069222717988
542,542,22347,4.811465,16.634276,11.55,24.76,-79.26,7.57,0.433,0,1,0.37372833222221274
546,546,18833,4.037577,22.422309,11.47,-68.93,-50.78,7.82,0.456,0,1,0.003790705446824574
549,549,22773,4.898789,15.931696,11.37,-6.11,-107.85,7.61,0.523,0,1,0.3794402012719781
550,550,21226,4.552743,4.970118,11.35,55.34,-73.65,8.74,0.512,0,1,0.2647616006956159
555,555,28348,5.990138,17.81476,11.27,25.22,-86.96,7.92,0.531,0,1,0.3848839486269111
556,556,23807,5.117064,16.827424,11.26,51.76,-55.69,8.46,0.488,0,1,0.1744388698111126
559,559,27828,5.88861,22.07215,11.25,-75.3,-77.84,8.4,0.552,0,1,0.14735246181454445
563,563,17552,3.758885,21.246693,11.21,19.02,-47.65,7.75,0.179,0,1,0.10911390470159639
565,565,21442,4.604889,21.689208,11.19,61.76,-71.31,8.18,0.456,0,1,0.24133033340405288
574,574,16399,3.519284,13.575851,11.11,4.91,-106.95,8.77,0.504,0,1,0.3891362483582636
575,575,20785,4.452053,20.990885,11.09,10.22,-51.36,8.57,0.797,0,1,0.1484098409131629
577,577,16748,3.5911410000000004,14.174846,11.04,-39.08,-78.47,9.87,0.58,0,1,0.24419959218002363
584,584,18595,3.978901,17.119018,10.93,28.82,-61.13,8.3,0.498,0,1,0.2794347022081369
587,587,27280,5.781149,9.522343,10.88,-33.29,-64.54,5.78,0.888,0,1,0.1672666386526443
594,594,20273,4.345557,8.408992999999999,10.81,39.69,-143.91,8.95,0.83,0,1,0.32631446827637944
599,599,19427,4.160582,11.467403,10.76,-13.79,-43.0,9.14,0.624,0,1,-0.13144540113090597
602,602,13974,3.000169,7.102449000000001,10.69,38.14,-93.58,9.64,0.644,0,1,0.35985696833016223
603,603,27924,5.908963,11.7632,10.69,27.41,-41.71,6.59,0.029,0,1,-0.03220529620853529
605,605,26625,5.659043,12.003876,10.66,19.2,-43.85,7.78,0.399,0,1,-0.003015701776976068
616,616,17238,3.691569,13.523372,10.51,23.0,-92.82,9.21,0.635,0,1,0.38971298193613507
619,619,27581,5.8413629999999985,14.305608,10.44,4.42,-37.43,5.54,1.006,0,1,-0.2380238396010727
622,622,19975,4.283673,19.675685,10.42,3.48,-103.1,7.12,0.444,0,1,0.39016097400043886
625,625,23139,4.97914,17.987082,10.39,-34.26,-66.56,9.02,0.573,0,1,0.1863230805800757
627,627,20186,4.326863,21.773491,10.32,29.77,-41.39,5.34,-0.107,0,1,-0.015718599872191454
631,631,24477,5.252927,8.43238,10.27,10.79,-39.06,7.25,0.368,0,1,-0.17934248877359743
632,632,18266,3.907731,21.389759,10.26,19.84,-41.69,10.96,0.737,0,1,-0.035800466045172716
638,638,14439,3.106579,13.18725,10.21,-3.31,-62.68,5.64,1.087,0,1,0.25261790633235315
645,645,17921,3.831965,22.244151,10.14,23.88,-45.9,6.05,-0.006,0,1,0.08004824238539267
646,646,14554,3.131174,23.687926,10.13,35.43,-50.02,7.97,0.32,0,1,0.14245470179237166
649,649,17892,3.827272,22.533483,10.12,17.8,-45.0,7.01,0.033,0,1,0.0472578500657935
650,650,17481,3.745793,20.748003,10.1,16.68,-44.35,8.7,0.394,0,1,0.02422433554636934
652,652,24104,5.1777690000000005,15.279484,10.09,6.35,-47.47,8.16,0.5329999999999999,0,1,0.04337819264203796
653,653,19617,4.203574,14.932448,10.08,55.36,-69.45,8.61,0.465,0,1,0.25541442922674856
659,659,17511,3.749701,22.032454,10.0,18.31,-42.76,9.49,0.489,0,1,-0.010480323558865672
660,660,20136,4.316997,21.299337,9.99,37.36,-40.48,8.2,0.45,0,1,-0.023946154770471673
662,662,16753,3.592138,22.823588,9.98,23.92,-44.12,9.86,0.54,0,1,0.040282645855774
664,664,17091,3.661438,23.290875,9.97,23.15,-46.14,9.94,0.608,0,1,0.0831118877434821
665,665,28663,6.0524010000000015,14.36511,9.96,8.17,-64.66,8.3,0.491,0,1,0.3015190735840271
667,667,22708,4.883108,11.263688,9.92,-15.78,-113.08,10.0,0.665,0,1,0.360026081565616
669,669,19411,4.157562,6.72505,9.88,26.97,-56.72,6.74,0.098,0,1,0.2164455545543952
671,671,17694,3.789694,22.922122,9.87,19.74,-45.2,8.17,0.255,0,1,0.0584833543913766
673,673,17999,3.847896,23.96147,9.83,16.8,-45.76,6.95,0.078,0,1,0.05999397845693906
678,678,17497,3.747566,23.268923,9.76,22.71,-43.67,8.98,0.403,0,1,0.028364853555626342
