,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades
109,15062,3.234664,18.303813,24.52,-15.3,-227.78,8.12,0.624,0
110,20557,4.404049,21.736244,24.47,119.1,-46.63,7.13,0.518,1
111,14614,3.14564,15.334826999999999,24.44,68.85,-194.89,7.85,0.642,0
112,20605,4.413349,15.874718,24.41,102.58,-26.06,11.66,1.4080000000000001,1
113,23396,5.028951,20.829845000000002,24.38,-65.85,-92.74,7.99,0.74,0
114,16144,3.467312,22.023077,24.37,341.88,-321.48,11.41,1.411,0
115,21053,4.512999,16.148695999999997,24.28,98.2,-22.75,6.5,0.428,1
116,20951,4.492113,17.893182,24.19,107.0,-33.31,8.95,0.831,1
117,18327,3.9184730000000005,16.998476,24.16,148.37,-25.09,8.99,0.895,0
118,18170,3.8861239999999997,17.327083,24.14,143.97,-29.93,5.97,0.354,1
119,22224,4.780404,17.748324,24.11,96.93,-33.93,9.6,0.9670000000000001,0
120,20834,4.464704,24.444788,24.05,375.08,114.38,9.4,0.894,0
121,21186,4.54179,4.139537000000001,24.04,51.61,-162.12,11.03,1.51,0
122,17766,3.803295,7.14624,24.02,173.16,4.87,10.85,1.34,0
123,21280,4.566261,15.163621,24.02,101.93,-33.75,8.48,0.847,0
124,21723,4.664159,12.728474,23.95,102.0,-17.7,10.04,1.073,0
125,22607,4.863886,13.655154999999999,23.91,106.84,-16.0,6.3,0.502,1
126,19481,4.1727,12.077616,23.85,168.24,89.45,8.11,0.741,0
127,21762,4.673742,16.51366,23.65,91.94,-30.69,9.47,1.0959999999999999,0
128,22505,4.842727,15.083454000000001,23.64,89.49,-20.65,7.73,0.74,0
129,28122,5.943642,10.551743,23.63,-16.57,10.15,9.48,0.722,0
130,19207,4.117007,15.335032,23.57,122.63,-18.96,10.49,1.18,0
131,16641,3.5689940000000004,17.832828,23.57,95.5,-310.56,6.14,0.8909999999999999,0
132,15724,3.375715,17.725354,23.55,40.02,-29.15,8.83,0.882,0
133,21543,4.62555,15.146454,23.54,86.8,-17.98,7.53,0.597,0
134,20130,4.316104,19.906701,23.53,113.95,-36.39,8.62,0.745,0
135,14211,3.053805,22.369838,23.43,26.62,40.59,10.78,1.14,0
136,22067,4.746714,5.289432,23.43,-116.07,-43.76,8.09,0.8640000000000001,0
137,21123,4.526973,17.709777,23.41,105.81,-30.97,9.53,0.987,0
138,24292,5.213321,16.307066,23.35,31.69,-262.46,10.55,1.23,0
139,23287,5.009426,3.6157489999999997,23.33,10.35,-27.39,6.65,-0.053,0
140,26664,5.667147,6.060579,23.32,54.7,-245.76,8.67,0.8270000000000001,0
141,20215,4.331905,16.522588,23.27,121.27,-36.65,6.85,0.509,1
142,20935,4.489043,17.544935,23.25,104.88,-31.65,7.02,0.526,1
143,21923,4.714363,18.720433,23.23,103.46,-92.15,7.12,0.677,0
144,19504,4.1784349999999995,18.423253,23.22,123.92,-31.41,6.61,0.42700000000000005,1
145,21317,4.576475,15.504620000000001,23.19,100.66,-28.04,7.9,0.631,1
146,21152,4.534669,5.410035,23.13,114.15,6.17,6.37,0.42,1
147,23214,4.995645,15.916734,23.09,87.21,-29.19,6.75,0.45,1
148,21380,4.588119,23.045169,23.09,-13.35,-67.89,8.91,0.77,0
149,20686,4.431035,18.864063,23.08,110.87,-33.75,8.07,0.68,0
150,18946,4.060844,19.45501,23.07,119.02,-34.19,10.12,1.095,0
151,13678,2.9366630000000002,13.913012,23.04,-82.41,-72.34,9.03,0.81,0
152,20751,4.446738,10.87107,23.03,111.07,-16.26,9.45,1.033,0
153,21474,4.611312,15.869329,22.99,93.78,-23.02,6.64,0.442,1
154,21066,4.515880999999999,10.751767999999998,22.96,104.19,-10.52,7.03,0.47200000000000003,1
155,22496,4.839981,17.202665,22.96,102.78,-29.7,7.1,0.563,0
156,16786,3.6000949999999996,8.760196,22.94,25.99,23.86,12.45,1.444,0
157,20995,4.502388,15.637841,22.93,107.59,-23.92,5.58,0.324,0
158,21267,4.562956,13.251883,22.8,101.77,-17.93,6.62,0.429,1
159,16529,3.547244,23.692185000000002,22.78,160.99,-40.55,8.88,0.8440000000000001,0
160,18893,4.049864,9.208489,22.7,93.22,-162.79,6.91,0.466,0
161,19808,4.247758999999999,13.054953,22.67,114.46,-19.28,10.69,1.204,0
162,15401,3.3097779999999997,10.312375,22.66,147.35,-80.83,12.25,1.485,0
163,20641,4.423615,22.199998,22.65,112.45,-47.06,5.27,0.25,0
164,21459,4.608094,23.340854999999998,22.6,109.97,-53.86,6.01,0.38,1
165,21637,4.647581,23.149971,22.6,104.3,-55.25,7.51,0.5760000000000001,0
166,20527,4.398448,14.052113,22.57,115.9,-15.21,10.89,1.288,1
167,21039,4.510803,15.691879,22.55,104.17,-24.29,5.47,0.258,1
168,21029,4.509342,16.194014000000003,22.54,104.98,-25.14,4.78,0.17,0
169,19877,4.262857,15.400695,22.51,114.38,-22.07,6.31,0.4,1
170,13679,2.937158,8.381563,22.46,69.83,-88.32,5.97,0.478,0
171,22177,4.771887,3.636336,22.45,92.59,12.96,10.92,1.2770000000000001,0
172,20542,4.4016,17.444129999999998,22.36,109.99,-33.47,4.8,0.154,1
173,20219,4.332696,14.035201,22.31,115.42,-19.91,5.58,0.28300000000000003,0
174,18471,3.947799,22.477971,22.31,69.43,-114.82,5.62,0.345,0
175,20237,4.3369349999999995,19.23348,22.27,115.67,-34.02,7.46,0.56,0
176,21137,4.5310440000000005,15.851560000000001,22.25,107.59,-32.38,6.01,0.33799999999999997,1
177,20553,4.40346,14.758207,22.25,97.38,-33.51,7.58,0.604,1
178,16788,3.600883,16.467408,22.25,-284.52,-276.33,7.65,0.58,0
179,24681,5.294716,7.353343,22.22,-3.74,-148.69,7.31,0.6609999999999999,0
180,19786,4.2409040000000005,12.435324000000001,22.19,117.48,-9.35,8.05,0.64,0
181,20648,4.424829,17.92791,22.05,108.26,-32.47,4.3,0.049,1
182,20693,4.432594,5.150144999999999,22.03,96.32,4.55,7.36,0.509,1
183,18735,4.013546,18.194000000000003,21.99,129.49,-28.27,5.89,0.319,0
184,21588,4.635957,16.033291000000002,21.96,113.05,-40.4,5.78,0.312,0
185,19781,4.240458,14.625035,21.91,105.61,-19.86,8.45,0.693,1
186,20894,4.4777059999999995,15.870883,21.89,108.66,-26.39,3.4,0.179,1
187,20400,4.367644,14.077198000000001,21.87,114.04,-21.4,5.72,0.315,0
188,20056,4.300511,18.256805,21.84,115.65,-31.23,7.53,0.6809999999999999,0
189,21036,4.510379,13.724402,21.84,108.06,-19.71,5.4,0.263,1
190,20762,4.448428,13.138172,21.83,104.54,-18.1,10.48,1.146,1
191,20815,4.459969,15.589188,21.83,103.54,-25.16,7.41,0.537,1
192,21099,4.521026,20.133164,21.81,102.78,-41.08,8.59,0.7340000000000001,0
193,20284,4.3479779999999995,13.864427,21.8,105.29,-17.97,6.15,0.456,0
194,21589,4.635962,12.510838,21.79,101.73,-14.9,4.27,0.122,0
195,20719,4.440169,16.853322,21.76,103.64,-17.58,8.04,0.6509999999999999,1
196,26018,5.551926,20.035560999999998,21.71,-71.0,-296.53,8.81,0.9,0
197,19793,4.24231,23.574945,21.69,121.09,-48.34,8.05,0.657,0
198,21402,4.594239,10.160789999999999,21.68,44.89,-52.42,4.25,0.184,0
199,15310,3.292439,7.690152,21.64,170.41,-7.48,7.78,0.617,1
200,28734,6.068671,23.263341,21.64,-2.6,-119.72,4.16,0.835,0
201,16329,3.5084519999999997,20.103263000000002,21.61,155.02,-63.38,8.29,0.7390000000000001,0
202,20948,4.491764,17.863163,21.59,105.72,-32.56,6.9,0.451,1
203,24558,5.269158,16.942417000000003,21.55,-148.64,-161.3,10.5,1.09,0
204,20712,4.438472,21.470434,21.54,105.82,-36.48,7.36,0.557,1
205,17960,3.8397129999999997,17.476366,21.5,114.24,-252.31,7.5,0.653,0
206,21673,4.65256,15.799845999999999,21.49,32.4,-77.67,5.08,0.141,0
207,28614,6.039722,9.647277,21.49,14.19,-37.44,4.12,0.17,1
208,21983,4.725484,11.166713,21.48,97.8,24.92,10.29,1.16,0
209,20661,4.427033,15.94101,21.47,104.62,-28.83,6.44,0.509,1
210,20440,4.378936,15.056091,21.45,111.98,-19.88,6.97,0.518,1
211,20741,4.444478,16.746899,21.42,110.29,-27.82,8.1,0.664,1
212,18433,3.9413129999999996,22.674394,21.41,174.27,-233.12,7.84,0.688,0
213,19148,4.104480000000001,15.698120000000001,21.41,118.53,-19.59,7.85,0.593,0
214,20019,4.29415,16.947859,21.4,113.07,-21.39,8.32,0.7559999999999999,1
215,21273,4.564144000000001,14.844423999999998,21.39,103.69,-25.94,4.65,0.255,1
216,24021,5.1627540000000005,7.181589,21.39,51.64,14.61,7.41,0.46399999999999997,0
217,22380,4.817645,18.641239000000002,21.38,82.39,-40.86,8.98,0.833,0
218,17962,3.840269,17.246506,21.37,130.19,-23.3,9.46,0.782,0
219,21308,4.575055,10.01642,21.36,118.55,-68.94,7.72,0.615,0
220,24336,5.223622,3.687102,21.36,-36.81,22.24,7.82,0.637,0
221,14705,3.166575,15.373237,21.3,-96.99,-281.02,9.06,0.825,0
222,20455,4.382248000000001,17.542514,21.29,107.75,-28.84,3.77,0.983,1
223,20850,4.467899,13.867942000000001,21.29,106.16,-17.59,9.02,0.8390000000000001,1
224,19261,4.128329,15.162788,21.27,127.06,-22.75,6.02,0.397,1
225,20635,4.422823999999999,22.293874,21.27,105.49,-44.14,4.21,0.136,0
226,20146,4.318891000000001,17.524749,21.24,112.8,-29.89,8.47,0.721,1
227,25523,5.458341000000001,18.845588,21.24,56.36,-346.11,9.58,0.92,0
228,20492,4.392314,14.670478,21.23,107.57,-18.24,9.11,0.855,1
229,20261,4.34342,15.095453,21.2,108.79,-20.67,5.26,0.225,1
230,20826,4.4627989999999995,11.736419999999999,21.18,110.28,-12.11,7.49,0.56,0
231,20205,4.32989,15.627642000000002,21.17,115.29,-23.86,3.65,0.981,1
232,20484,4.390295,16.777260000000002,21.17,105.09,-27.62,5.64,0.31,0
233,20255,4.340308,18.742607999999997,21.12,119.59,-48.17,6.11,0.40399999999999997,1
234,21946,4.717064,18.711645,21.1,100.3,-93.0,9.92,1.122,0
235,20899,4.480082,17.285464,21.09,105.58,-30.05,7.83,0.609,1
236,20485,4.390356,15.763113,21.08,126.22,-30.5,10.47,1.2309999999999999,1
237,19796,4.242873,10.701388,21.08,119.81,-5.22,7.11,0.514,1
