HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
17702,3.79141,24.105137,8.87,19.35,-43.11,2.85,-0.086,0,1,0.3330222614
17044,3.653743,24.466521,8.85,20.2,-45.09,10.4,0.616,0,1,0.380978017
18502,3.956601,21.553663,8.84,9.6,-43.24,8.96,0.625,0,1,0.4439448978
13871,2.977501,15.154514,8.82,1.88,-10.23,8.96,0.399,0,1,0.1999063974
18724,4.011338,12.490347,8.81,-8.15,-11.98,3.41,-0.099,0,1,0.0721932641
18176,3.887194,15.58482,8.81,-28.19,-20.01,9.23,0.555,0,1,0.3442497732
17499,3.747927,24.113339,8.8,21.55,-44.92,3.72,-0.105,0,1,0.3352070732
18864,4.044032,15.062026,8.78,-1.24,-59.67,8.74,0.644,0,1,0.2480541108
16176,3.472991,16.081299,8.77,3.64,-12.41,11.14,0.716,0,1,0.2729806549
16401,3.520403,19.783518,8.75,35.04,36.64,8,0.483,0,1,0.5470496987
17531,3.753471,24.467278,8.75,19.35,-41.63,4.3,-0.11,0,1,0.3250891645
18244,3.902087,21.135029,8.69,7.82,-13.03,11.16,0.547,0,1,0.4926662439
18431,3.941145,23.150273,8.66,16.99,-47.06,8.34,0.269,0,1,0.4164285356
16271,3.496428,18.738374,8.65,-8.15,-48.09,9.01,0.47,0,1,0.5378556119
18643,3.990526,18.662698,8.64,32.12,-29.05,10.96,0.655,0,1,0.4223987473
14909,3.206905,15.04263,8.63,11.66,-34.33,10.57,0.584,0,1,0.179815229
17900,3.828758,23.711855,8.58,16.5,-44.53,6.17,-0.046,0,1,0.3464276447
17847,3.819373,24.053415,8.57,17.77,-44.7,3.62,-0.07,0,1,0.3332830047
17325,3.708297,20.14999,8.53,19.99,-45.06,8.42,0.329,0,1,0.5534118797
15341,3.297155,22.832191,8.5,22.79,-43.58,7.64,0.267,0,1,0.5124946257
16423,3.52454,21.821909,8.44,24.13,-49.19,8.88,0.391,0,1,0.5465150311
19615,4.203149,21.535805,8.42,25.64,-15.29,8.73,0.651,0,1,0.320604386
17851,3.819782,24.136712,8.42,18.71,-46.74,5.05,-0.082,0,1,0.3273950133
17692,3.789158,23.803347,8.35,19.78,-43.97,6.99,0.03,0,1,0.3782176746
18304,3.913535,17.607577,8.3,-11.93,9.9,9.21,0.476,0,1,0.5243730045
18976,4.066125,21.070912,8.29,21.51,-10.62,8.02,0.28,0,1,0.426708308
17610,3.772375,16.374132,8.23,34.69,1.63,8.09,0.359,0,1,0.4464191942
14500,3.121528,16.077517,8.23,0.72,9.3,9.64,0.833,0,1,0.073668476
14129,3.037107,23.427728,8.22,7.11,-6.7,8.51,0.175,0,1,0.4759133807
14971,3.216682,17.132225,8.21,35.48,-10.83,8.52,0.46,0,1,0.4021337801
16961,3.636371,19.360414,8.17,20.4,-18.02,7.72,0.384,0,1,0.5767717307
19054,4.082368,20.85648,8.15,12.9,-51.39,8.94,0.821,0,1,0.1736829382
19436,4.162134,24.072946,8.13,3.73,-19.5,7.36,0.202,0,1,0.2856872058
19549,4.186963,18.379925,8.13,-25.19,-122.41,9.66,0.537,0,1,0.407576684
16639,3.568697,24.344449,8.11,19.64,-43.71,9.54,0.51,0,1,0.448834211
16469,3.535062,16.728003,8.08,30.96,-69.91,8.6,0.512,0,1,0.4281229315
17421,3.732422,18.896135,8.07,15.34,-22.13,9.9,0.606,0,1,0.4787405722
17426,3.733355,14.620438,8.06,9.32,-25.45,8.61,0.57,0,1,0.2087754913
13810,2.963257,14.070043,8.05,-19.41,4.36,9.27,0.348,0,1,0.0990534202
20780,4.45135,18.207537,8.04,2.83,-17.77,6.94,0.021,0,1,0.1595463381
17862,3.822708,24.380956,8.02,18.34,-44.53,6.62,-0.027,0,1,0.3386695198
17340,3.711432,21.281657,8.02,2.54,4.07,7.91,0.624,0,1,0.4481826034
16674,3.576373,18.873872,7.98,22.7,-35.39,9.24,0.71,0,1,0.3450075773
17309,3.705263,19.700254,7.97,5.82,-13.24,5.68,-0.016,0,1,0.4382078557
17000,3.644645,22.659612,7.88,19.34,-45.29,6.71,-0.001,0,1,0.4187102532
20371,4.362595,13.584932,7.87,-4.75,-0.72,7.37,0.172,0,1,0.0731489964
13533,2.904987,15.495463,7.86,84.54,-31.53,8.57,0.418,0,1,0.2120572081
20789,4.454847,22.996337,7.86,-0.35,-13.25,5.53,-0.098,0,1,0.0968633337
14021,3.008751,18.004974,7.79,-2.61,-26.24,6.74,0.046,0,1,0.3703796792
16077,3.450894,18.756554,7.78,35.7,2.41,6.54,0.188,0,1,0.5087385953
14378,3.091744,20.902374,7.78,27.45,-27.64,7.73,0.3,0,1,0.5046992099
17043,3.653667,21.843252,7.78,21.89,-41.6,7.27,0.068,0,1,0.457715713
15552,3.339236,23.689288,7.76,30.52,-56.38,7.46,0.279,0,1,0.4912439157
15100,3.246447,20.341352,7.76,-13.28,2.56,9.16,0.38,0,1,0.5339193613
15882,3.409578,22.040317,7.74,23.14,-18.17,6.91,0.11,0,1,0.4902563342
16304,3.503213,14.252724,7.74,3.2,-9.94,9.27,0.47,0,1,0.1678034079
20181,4.326028,21.065143,7.72,2.28,-15.94,8.6,0.627,0,1,0.2551698475
18091,3.86689,19.596858,7.71,13.35,-46.2,10.5,0.635,0,1,0.4535192599
21251,4.55918,18.016722,7.71,12.44,-16.74,6.24,0.077,0,1,0.0907411798
20782,4.451659,18.210267,7.69,-5.93,-33.28,9.57,0.609,0,1,0.1920161782
14910,3.206914,16.516735,7.68,-5.85,-15.19,7.33,0.181,0,1,0.3589833271
15189,3.262796,21.165141,7.62,59.12,5.16,7.91,0.359,0,1,0.5373754091
16246,3.489493,15.232547,7.59,-26.12,-14.24,9.24,0.463,0,1,0.2929575268
17413,3.731216,16.022059,7.58,21.45,-85.86,8.58,0.441,0,1,0.4085403797
18551,3.970282,14.18688,7.51,0.53,-11.72,9.69,0.48,0,1,0.1999046308
17746,3.800087,16.962506,7.46,67.95,-17.66,7.98,0.406,0,1,0.4896467208
15064,3.235666,15.590418,7.46,23.36,-12.26,7.17,0.072,0,1,0.2872278706
16859,3.616118,23.211069,7.46,-15.42,-18.36,6.72,0.123,0,1,0.4511701965
15586,3.346031,23.183969,7.38,-3.41,-13.07,8.48,0.392,0,1,0.5050019093
