HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
18033,3.854408,13.046078,7.36,20.62,-22.18,6.3,-0.058,0,1,0.1271192216
16671,3.575937,14.175846,7.34,-46.86,15.02,8.79,0.615,0,1,0.1037570122
19376,4.150436,13.398281,7.32,14.76,-7.3,5.94,0.052,0,1,0.1355654302
18576,3.976448,15.086095,7.32,3.82,-44.38,8.41,0.727,0,1,0.2039526587
19669,4.213626,19.538764,7.3,-9.55,-18.03,7.79,0.456,0,1,0.393367404
17289,3.701312,22.858564,7.29,19.7,-41.66,9.17,0.463,0,1,0.4981820264
18549,3.968479,12.769416,7.28,43.31,-5.02,8.51,0.137,0,1,0.0870936098
15823,3.397925,16.721356,7.28,22.75,-8.48,8.49,0.41,0,1,0.4207570225
19229,4.121879,13.53831,7.28,-25.06,-7.44,7.87,0.31,0,1,0.1596493623
15109,3.248106,15.527143,7.27,171.94,-56.02,9.51,0.642,0,1,0.2165633444
15894,3.412399,14.973836,7.25,-0.23,-3.88,8.18,0.22,0,1,0.2764169282
15519,3.333122,17.500966,7.24,33.77,45.41,7.77,0.335,0,1,0.4577875638
14062,3.019709,19.402775,7.23,12.38,-27.72,8.44,0.513,0,1,0.4339304014
21314,4.576201,20.324668,7.21,61.57,-103.21,9.93,0.573,0,1,0.0390749518
20071,4.304039,22.80684,7.19,-9.8,-26.31,7.56,0.549,0,1,0.2450016501
15550,3.339066,19.730357,7.14,16.03,-14.2,7.6,0.188,0,1,0.5171978247
19484,4.173097,22.83388,7.12,32.86,-30.47,9.83,0.538,0,1,0.3296117167
13892,2.981409,21.617728,7.1,40.49,-17.35,6.69,0.235,0,1,0.4817330065
15627,3.353785,21.147086,7.06,21.68,-22.41,5.27,-0.067,0,1,0.4427560177
16072,3.449937,23.77665,6.99,262.7,-342.88,10.81,0.544,0,1,0.4343302597
14567,3.134934,16.925461,6.97,-27.89,-3.36,8.32,0.4,0,1,0.3769699983
15536,3.335632,14.834281,6.95,-17.4,-19.96,9.77,0.624,0,1,0.1592528815
17503,3.748058,19.830622,6.92,21.06,-15.44,8.47,0.574,0,1,0.5081584837
20859,4.470043,22.332771,6.92,1.49,-11.03,8.66,0.452,0,1,0.1296127661
17791,3.80836,24.345524,6.9,17.7,-43.2,6.96,0.128,0,1,0.385637697
15766,3.386472,21.568018,6.83,-6.8,2.13,9.28,0.524,0,1,0.4857967013
20580,4.408193,22.741511,6.8,31.05,-36.92,7.95,0.406,0,1,0.1787637805
18459,3.944369,21.957635,6.78,42.2,-40.72,9.53,0.469,0,1,0.467798596
19772,4.239152,19.579661,6.78,16.04,-50.71,8.18,0.543,0,1,0.3652882197
15954,3.423396,17.743809,6.77,57.93,-83.22,8.69,0.667,0,1,0.3702853407
20493,4.392324,20.982045,6.77,15.93,-35.07,6,0.029,0,1,0.1783130684
19451,4.165641,15.868113,6.76,27.26,-11.92,9.9,0.587,0,1,0.3570065842
16568,3.555526,15.536956,6.74,28.98,-20.59,9.1,0.523,0,1,0.3195113162
16944,3.634182,18.480995,6.73,-26.25,-1.09,9.91,0.5,0,1,0.5431832022
17505,3.748912,14.640021,6.71,30.64,-4.73,10.69,0.565,0,1,0.2152191302
20038,4.297576,22.354064,6.68,2.8,-15.64,8.18,0.579,0,1,0.2567521042
17317,3.706673,22.421138,6.66,19.29,-44.43,10.4,0.7,0,1,0.3487821326
13723,2.946129,21.428081,6.66,11.82,-14.11,8.77,0.345,0,1,0.4738327773
18263,3.907011,24.360077,6.64,20.29,-48.98,10.94,0.714,0,1,0.2967639221
16950,3.634689,20.233853,6.62,68.27,-45.28,9.45,0.756,0,1,0.2868314079
17026,3.650017,20.915765,6.6,-4.67,-34.27,6.5,0.151,0,1,0.5027510123
16393,3.518411,15.736097,6.5,-3.56,-5.96,10.32,0.563,0,1,0.3201758974
21173,4.539325,18.216221,6.48,-19.44,8.03,10.58,0.521,0,1,0.1191864692
15612,3.350364,19.476262,6.44,63.85,-56.74,7.96,0.594,0,1,0.4458490594
19176,4.110778,20.303093,6.43,6,-15.4,9.57,0.699,0,1,0.361211359
18721,4.0111,20.303296,6.42,21.83,-20.29,9.39,0.487,0,1,0.481993427
16643,3.569098,21.728971,6.33,-1.96,-10.13,9.22,0.347,0,1,0.5421711553
17923,3.832793,23.848696,6.3,18.74,-44.35,6.73,0.063,0,1,0.37695111
19262,4.128611,21.262622,6.29,-5.4,-48.19,9.18,0.63,0,1,0.3758605936
17316,3.706666,21.473491,6.28,24.13,-47.88,9.85,0.55,0,1,0.5058919746
16664,3.574062,24.464393,6.28,2.7,-33.96,5.95,0.123,0,1,0.421685405
13643,2.927852,14.70675,6.2,-13.36,-19.22,7.82,0.202,0,1,0.1754828996
15640,3.356043,23.007761,6.19,-57.02,-28.88,9.81,0.58,0,1,0.4169566037
16152,3.469208,17.167525,6.16,35.76,-30.95,8.33,0.384,0,1,0.4649724008
19367,4.148719,20.385998,6.16,23.25,-51.07,9.37,0.587,0,1,0.3968048715
14569,3.135113,17.027377,6.16,-23.47,-1.22,7.67,0.401,0,1,0.3834472717
18485,3.951058,23.17555,6.14,8.95,-16.98,6.05,0.031,0,1,0.3502497837
18955,4.06227,22.944283,6.13,19.18,-45.37,9.68,0.57,0,1,0.3750854592
15137,3.252264,14.896601,6.13,2.88,-5.29,10.98,0.048,0,1,0.2368246466
17617,3.773959,13.5091,6.11,24.62,-27.24,6.88,0.069,0,1,0.1633526429
17983,3.84378,17.776638,6.11,-4.43,-15.51,9.12,0.479,0,1,0.5314179063
17281,3.700458,14.922172,6.1,-2.26,-2.94,9.47,0.615,0,1,0.2247170277
16627,3.565653,15.625605,6.06,25.96,-36.55,9.57,0.552,0,1,0.3200412583
19299,4.137284,22.021202,6.04,-40.39,-14.13,8.88,0.475,0,1,0.3829879516
17480,3.745519,13.989451,6.03,21.84,-15.98,9.81,0.634,0,1,0.0829621045
20595,4.41123,12.904039,6,-8.64,1.06,7.87,0.411,0,1,0.051536508
19665,4.213297,20.735203,5.96,17.32,-24.14,9.17,0.479,0,1,0.371766512
14572,3.135697,22.659595,5.92,10.28,-16.52,9.53,0.379,0,1,0.4854518858
