recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,cluster,silhouette
151455,1783,411,1,3.086656,23.61467,46.3,11.7,10.301,9.177,9.076,0.955,      ,,,0,3,-0.0676406596
151465,1783,622,1,3.186337,23.028672,110.4,-41.8,11.525,10.587,10.503,0.797,      ,,,0,3,0.3697728404
151512,1784,214,1,3.238099,22.953765,61.4,-9.1,8.188,6.88,6.762,1.112,20078,15072,5.8,0,3,0.2107679479
151536,1784,969,1,3.345999,23.167921,147.4,-80.4,10.893,10.226,10.166,0.567,      ,,,0,3,0.0976933316
151545,1784,1197,1,3.271004,22.763913,68.6,48.8,10.219,9.352,9.274,0.737,      ,,,0,3,0.2027946635
151551,1784,1360,1,3.247945,22.564903,81.9,-7.4,11.886,11.136,11.069,0.638,      ,,,0,3,0.441976939
152109,1797,371,1,3.388423,23.215939,76.1,26.4,10.432,9.723,9.659,0.603,      ,,,0,3,0.3249563469
152188,1798,588,1,3.533506,23.64713,49.7,-15.3,8.907,7.446,7.315,1.242,21835,,,0,3,-0.1292247612
152205,1798,924,1,3.556553,23.488862,71.4,-28.4,10.296,9.145,9.041,0.978,      ,,,0,3,0.3135225848
152206,1798,1012,1,3.528453,23.649548,52.6,41.9,8.6,8.096,8.051,0.428,21804,16440,9.52,0,3,0.0497345213
152415,1801,1502,1,3.429028,24.408641,77.8,-41.5,12.211,11.214,11.124,0.847,      ,,,0,3,0.2638257729
153179,1813,1458,1,3.963136,22.924398,148.6,13.9,10.09,8.947,8.844,0.972,24844,18531,27.72,0,3,0.4020774945
153208,1814,794,1,4.143392,23.76861,118.2,-43.7,10.686,9.535,9.431,0.978,      ,,,0,3,0.3493532734
153228,1814,1364,1,4.147709,23.871137,53.7,-12,8.466,7.117,6.996,1.147,26116,19361,7.19,0,3,0.0097316257
