"","n","identifier","prob_member","Otype","RA","RA_J2000","DE","DE_J2000","Sp_type","idHip","rac","dec","dist","cercanaHip","idcruzHip"
"162",165,"2MASS J04190576+1734235",75,"LM? ","04 19 05.7700",4.31827,"+17 34 23.5 ",17.5732,"~ ",FALSE,22,33,0.0484549795377111,20146,NA
"163",166,"[BKM2008] HB7Ic04-1273l",25,"* ","04 22 19.2000",4.372,"+15 25 54 ",15.4317,"~ ",FALSE,23,28,0.109399981316269,20810,NA
"164",167,"[BKM2008] HC24c02-487s",25,"* ","04 35 10.4000",4.58622,"+14 12 51 ",14.2142,"~ ",FALSE,26,26,0.0823604200207847,21132,NA
"165",168,"Cl* Melotte 25 HAN 393",25,"*iC ","04 26 53.3200",4.44814,"+17 36 49.2 ",17.6137,"~ ",FALSE,24,34,0.0800105032730097,20935,NA
"166",169,"[BKM2008] HC03c04-2872l",25,"* ","04 26 06.5000",4.43514,"+18 20 25 ",18.3403,"~ ",FALSE,24,35,0.107856940666792,20336,NA
"167",170,"LP 19-731",100,"PM* ","04 30 17.9716",4.50499,"+19 50 26.0745 ",19.8406,"F5 ",FALSE,25,39,2.40831891573367e-05,21008,NA
"168",171,"* 101 Tau",100,"*i* ","04 59 44.3224",4.99565,"+15 55 00.2363 ",15.9167,"F5V ",FALSE,33,30,3.43656805544104e-05,23214,NA
"169",172,"HD 27848",100,"*iC ","04 24 22.2714",4.40619,"+17 04 44.2289 ",17.079,"F8 ",TRUE,24,32,4.90917508351363e-05,20567,20567
"170",173,"[BKM2008] HB17c06-999l",25,"* ","04 30 13.2000",4.50367,"+16 43 09 ",16.7192,"~ ",FALSE,25,31,0.0465590829054868,20978,NA
"171",174,"[BKM2008] HB4Ic08-756l",25,"* ","04 21 04.7000",4.35131,"+16 22 45 ",16.3792,"~ ",FALSE,23,31,0.144695102090566,20215,NA
"172",176,"HD 27808",100,"*iC ","04 24 14.5743",4.40405,"+21 44 10.4811 ",21.7362,"F8V ",TRUE,24,43,4.4011362168379e-05,20557,20557
"173",177,"[BKM2008] HB17c07-1416l",25,"* ","04 30 29.7000",4.50825,"+16 44 45 ",16.7458,"~ ",FALSE,25,31,0.0637814689780662,20741,NA
"174",178,"HD 20439",100,"*iC ","03 17 32.7814",3.29244,"+07 41 24.5557 ",7.6902,"G0 ",TRUE,7,10,4.80104155362381e-05,15310,15310
"175",179,"[BKM2008] HA2Ic04-474l",25,"* ","04 27 22.0000",4.45611,"+16 34.2 ",16.57,"~ ",FALSE,24,31,0.111567946476576,20978,NA
"176",180,"V* V985 Tau",100,"BY* ","04 18 19.2722",4.30535,"+16 05 18.0306 ",16.0883,"K0 ",FALSE,22,30,4.11946598476622e-05,20082,NA
"177",181,"LP 475-9",75,"LM? ","04 20 56.0500",4.3489,"+14 51 34.6 ",14.8596,"~ ",FALSE,23,27,0.115140496998232,20553,NA
"178",182,"V* V911 Tau",100,"BY* ","04 26 40.1215",4.44448,"+16 44 48.8394 ",16.7469,"G2V ",FALSE,24,31,2.23606797820955e-06,20741,NA
